age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;target
42;blue-collar;married;unknown;no;149;yes;no;telephone;23;jul;329;3;-1;0;unknown;no
26;technician;single;secondary;no;0;no;no;cellular;8;jul;362;2;-1;0;unknown;no
36;housemaid;single;secondary;no;28;no;yes;cellular;11;aug;149;2;-1;0;unknown;no
51;management;married;tertiary;no;2635;no;no;cellular;1;sep;181;1;98;2;failure;yes
31;blue-collar;married;secondary;no;92;yes;no;unknown;16;may;688;1;-1;0;unknown;yes
49;technician;married;secondary;no;51;no;no;cellular;20;aug;513;4;-1;0;unknown;no
38;admin.;married;secondary;no;9618;yes;no;unknown;9;jun;214;1;-1;0;unknown;no
44;technician;married;tertiary;no;4580;yes;no;unknown;15;may;911;2;-1;0;unknown;yes
42;technician;single;secondary;no;77;no;yes;cellular;7;aug;152;2;-1;0;unknown;no
42;services;married;secondary;no;3236;no;no;unknown;18;jun;521;11;-1;0;unknown;no
30;blue-collar;single;secondary;no;3;yes;no;cellular;25;jul;51;1;-1;0;unknown;no
43;technician;divorced;unknown;no;4389;no;no;cellular;8;apr;618;1;-1;0;unknown;yes
37;services;married;secondary;no;775;no;yes;cellular;25;jul;1000;1;-1;0;unknown;yes
33;services;single;unknown;no;523;yes;no;unknown;28;may;86;1;-1;0;unknown;yes
25;student;single;tertiary;no;938;yes;no;cellular;14;may;36;1;352;1;other;no
39;admin.;married;secondary;no;130;yes;yes;cellular;4;feb;1290;2;-1;0;unknown;yes
29;self-employed;single;tertiary;no;814;no;no;unknown;13;aug;461;1;-1;0;unknown;yes
73;retired;single;secondary;no;1050;no;no;cellular;4;mar;562;3;181;2;failure;yes
29;technician;married;secondary;no;2326;no;no;cellular;6;mar;195;1;-1;0;unknown;yes
42;technician;divorced;secondary;no;314;yes;no;unknown;30;oct;234;1;-1;0;unknown;yes
85;retired;married;primary;no;98;no;no;cellular;30;apr;416;1;-1;0;unknown;yes
26;blue-collar;single;secondary;no;26;yes;yes;cellular;15;may;899;1;-1;0;unknown;yes
35;blue-collar;single;primary;no;85;no;no;cellular;15;may;213;1;364;1;failure;no
32;management;married;tertiary;no;312;no;no;cellular;11;aug;67;4;-1;0;unknown;no
32;admin.;married;secondary;no;0;yes;no;cellular;24;jul;151;2;-1;0;unknown;no
32;management;single;tertiary;no;311;no;no;unknown;12;may;757;2;-1;0;unknown;yes
57;management;married;tertiary;no;256;no;no;cellular;6;mar;227;1;-1;0;unknown;yes
56;management;married;tertiary;no;3172;yes;no;cellular;5;feb;139;1;-1;0;unknown;no
33;blue-collar;married;primary;no;195;no;no;cellular;16;nov;984;5;-1;0;unknown;yes
64;unemployed;divorced;secondary;no;588;no;no;cellular;8;mar;409;1;-1;0;unknown;yes
32;entrepreneur;married;secondary;no;1328;yes;no;unknown;6;jun;80;5;-1;0;unknown;no
39;services;married;secondary;no;1367;yes;no;unknown;9;jun;53;4;-1;0;unknown;no
31;management;single;tertiary;no;949;yes;no;cellular;28;jul;52;7;-1;0;unknown;no
48;management;married;tertiary;no;288;no;no;cellular;18;aug;585;3;-1;0;unknown;no
70;housemaid;divorced;primary;no;1311;no;no;cellular;11;aug;651;1;-1;0;unknown;yes
23;services;single;secondary;no;488;no;no;cellular;29;jun;205;1;91;3;success;yes
40;admin.;married;unknown;no;9110;yes;no;cellular;12;may;234;6;174;3;failure;no
34;management;divorced;tertiary;no;2240;no;no;cellular;8;sep;220;2;184;3;success;yes
26;technician;single;secondary;no;1105;yes;no;cellular;6;sep;415;1;297;3;other;yes
56;self-employed;married;primary;no;-34;yes;yes;unknown;5;may;212;2;-1;0;unknown;no
34;management;single;tertiary;no;549;no;no;cellular;6;oct;1246;2;-1;0;unknown;yes
44;blue-collar;married;primary;no;622;yes;no;unknown;21;feb;66;1;-1;0;unknown;no
34;blue-collar;married;primary;no;567;no;yes;cellular;8;jul;241;3;-1;0;unknown;no
38;blue-collar;divorced;secondary;no;0;yes;no;cellular;21;oct;576;1;183;4;success;yes
29;management;married;tertiary;no;247;no;no;cellular;16;sep;143;2;587;3;failure;yes
31;management;single;secondary;no;1088;yes;no;cellular;8;apr;575;2;-1;0;unknown;yes
31;technician;single;tertiary;no;36;no;no;cellular;12;aug;111;3;-1;0;unknown;no
29;technician;single;secondary;yes;28;yes;no;cellular;18;jul;203;1;-1;0;unknown;no
39;services;married;secondary;no;2;yes;no;cellular;25;jul;174;10;-1;0;unknown;no
47;blue-collar;married;secondary;no;1143;yes;no;unknown;4;jun;79;1;-1;0;unknown;no
29;services;divorced;secondary;no;590;yes;no;unknown;30;may;76;2;-1;0;unknown;no
49;services;divorced;secondary;no;3649;yes;yes;unknown;15;may;150;1;-1;0;unknown;no
33;services;married;secondary;no;210;yes;no;cellular;13;may;1207;2;-1;0;unknown;yes
59;self-employed;married;unknown;no;59;no;no;cellular;12;aug;171;2;-1;0;unknown;no
32;management;married;tertiary;no;2667;yes;no;cellular;4;mar;251;1;181;4;failure;yes
66;retired;married;secondary;no;0;no;no;cellular;8;oct;189;1;-1;0;unknown;no
25;management;married;tertiary;no;-242;yes;yes;cellular;18;may;600;4;332;4;other;yes
77;retired;married;unknown;no;1807;no;no;telephone;20;oct;373;1;-1;0;unknown;yes
50;services;married;secondary;no;1134;no;no;unknown;18;jun;53;2;-1;0;unknown;no
43;management;married;tertiary;no;2383;no;no;cellular;13;aug;379;6;-1;0;unknown;yes
22;student;single;secondary;no;948;no;no;telephone;25;feb;169;1;191;3;success;yes
29;technician;married;secondary;no;-910;yes;no;cellular;21;jul;260;1;-1;0;unknown;no
21;student;single;unknown;no;53;no;no;cellular;14;jun;270;1;-1;0;unknown;yes
40;management;married;tertiary;no;1598;yes;yes;cellular;6;may;1074;4;344;3;failure;yes
43;blue-collar;married;unknown;no;1123;yes;no;cellular;16;apr;191;2;322;3;failure;no
32;entrepreneur;single;tertiary;no;-34;yes;no;cellular;11;mar;101;1;-1;0;unknown;yes
46;technician;single;tertiary;no;4414;no;no;cellular;18;aug;504;7;-1;0;unknown;yes
57;blue-collar;married;secondary;no;1540;yes;no;cellular;17;nov;564;1;-1;0;unknown;yes
44;services;divorced;secondary;no;2586;yes;no;unknown;5;may;160;1;-1;0;unknown;no
51;self-employed;married;tertiary;no;5350;yes;yes;cellular;31;jul;612;4;-1;0;unknown;yes
29;admin.;married;secondary;no;-526;yes;no;unknown;28;may;314;2;-1;0;unknown;no
34;management;married;tertiary;no;676;no;no;telephone;11;nov;486;1;-1;0;unknown;yes
31;admin.;single;tertiary;no;355;yes;no;cellular;12;may;609;1;-1;0;unknown;yes
48;management;married;secondary;no;0;yes;yes;cellular;3;nov;1233;1;351;2;failure;yes
42;admin.;married;secondary;no;3842;no;no;cellular;31;jul;130;4;-1;0;unknown;no
32;technician;married;tertiary;no;1503;yes;yes;cellular;13;may;44;1;278;2;failure;no
39;technician;married;unknown;no;0;yes;no;cellular;12;may;106;3;-1;0;unknown;no
30;services;married;secondary;no;683;yes;no;cellular;15;may;66;1;-1;0;unknown;no
40;unemployed;married;primary;no;400;no;no;unknown;9;jun;317;1;-1;0;unknown;no
45;blue-collar;married;secondary;no;96;yes;no;cellular;13;apr;348;3;256;2;failure;yes
35;entrepreneur;married;secondary;yes;204;yes;no;unknown;6;may;424;2;-1;0;unknown;no
34;technician;married;secondary;no;-346;no;no;cellular;13;aug;136;4;-1;0;unknown;no
79;retired;divorced;primary;no;2787;no;no;telephone;13;jul;617;1;377;1;success;yes
38;entrepreneur;married;secondary;no;61;yes;yes;unknown;28;may;170;5;-1;0;unknown;no
36;management;single;tertiary;no;1531;yes;no;cellular;8;may;81;3;170;1;failure;no
34;admin.;married;secondary;no;124;yes;no;telephone;14;may;604;4;366;2;other;yes
37;blue-collar;single;primary;no;0;no;no;unknown;5;jun;39;1;-1;0;unknown;no
31;management;married;tertiary;no;676;no;no;cellular;7;aug;1182;1;-1;0;unknown;yes
58;admin.;married;secondary;no;2777;yes;no;telephone;2;nov;214;3;-1;0;unknown;no
40;blue-collar;married;secondary;no;1954;no;no;cellular;31;jul;1107;2;-1;0;unknown;yes
72;retired;married;secondary;no;4269;no;no;telephone;16;apr;122;3;-1;0;unknown;no
29;entrepreneur;single;secondary;no;404;no;no;cellular;30;jan;413;3;-1;0;unknown;no
39;self-employed;married;tertiary;no;1047;no;no;unknown;6;jun;554;1;-1;0;unknown;yes
32;management;married;tertiary;no;6138;no;no;cellular;3;sep;251;3;36;11;success;no
49;housemaid;married;secondary;no;3570;no;no;cellular;24;dec;62;3;202;2;failure;no
31;self-employed;single;tertiary;no;17924;yes;no;cellular;14;may;745;1;174;3;failure;yes
31;admin.;single;secondary;no;0;no;no;cellular;17;apr;188;3;-1;0;unknown;yes
32;unemployed;married;tertiary;no;394;yes;no;cellular;14;aug;266;2;-1;0;unknown;no
60;blue-collar;married;primary;no;136;yes;no;unknown;8;may;43;2;-1;0;unknown;no
30;management;divorced;tertiary;yes;-1105;yes;no;cellular;11;may;686;1;-1;0;unknown;no
29;management;single;tertiary;no;5894;yes;no;unknown;16;jun;223;2;-1;0;unknown;no
39;blue-collar;married;secondary;no;785;yes;no;cellular;11;may;1232;2;-1;0;unknown;yes
56;blue-collar;married;primary;no;827;yes;no;telephone;15;may;462;4;-1;0;unknown;yes
49;technician;married;tertiary;no;80;no;no;cellular;17;jul;123;1;-1;0;unknown;no
60;management;married;tertiary;no;2222;yes;no;cellular;11;jul;1120;2;-1;0;unknown;yes
32;blue-collar;married;secondary;no;889;yes;no;cellular;10;sep;185;1;99;5;success;yes
67;retired;married;tertiary;no;701;no;no;cellular;6;aug;254;2;-1;0;unknown;yes
34;management;single;tertiary;no;1009;yes;no;cellular;12;aug;68;2;-1;0;unknown;no
39;technician;divorced;secondary;no;902;yes;no;cellular;10;feb;691;2;180;5;failure;yes
49;technician;single;secondary;no;-188;yes;yes;cellular;17;nov;454;1;-1;0;unknown;yes
43;services;married;secondary;no;94;yes;yes;telephone;5;nov;68;1;-1;0;unknown;no
31;blue-collar;single;secondary;no;23;no;no;cellular;21;nov;116;1;-1;0;unknown;no
34;technician;married;secondary;no;0;yes;no;cellular;5;aug;231;2;2;3;success;yes
37;unemployed;married;tertiary;no;7620;no;no;telephone;23;feb;367;1;176;6;failure;yes
46;management;divorced;tertiary;no;1297;no;no;cellular;11;aug;716;3;-1;0;unknown;yes
34;blue-collar;married;primary;no;1031;yes;no;unknown;29;may;751;3;-1;0;unknown;yes
31;unemployed;single;tertiary;no;302;no;no;cellular;3;feb;349;1;357;3;success;yes
31;self-employed;married;tertiary;no;229;no;no;cellular;29;jan;184;1;-1;0;unknown;no
35;blue-collar;married;primary;no;623;yes;no;cellular;6;may;97;2;-1;0;unknown;no
39;technician;married;secondary;no;211;no;no;telephone;6;feb;53;2;-1;0;unknown;no
47;blue-collar;married;secondary;no;238;yes;yes;cellular;13;mar;3076;1;-1;0;unknown;yes
56;retired;married;primary;no;3149;no;no;cellular;7;aug;142;3;-1;0;unknown;no
80;retired;divorced;primary;no;235;no;no;cellular;31;mar;577;1;223;3;other;yes
32;management;single;tertiary;no;2360;no;no;cellular;3;feb;152;2;160;5;other;yes
59;unemployed;married;secondary;no;1047;no;no;cellular;18;feb;83;3;-1;0;unknown;yes
44;housemaid;married;primary;no;-156;no;yes;cellular;30;jul;1211;2;-1;0;unknown;yes
30;technician;single;secondary;no;359;yes;no;cellular;7;may;362;1;303;1;failure;no
42;management;married;secondary;no;1079;no;no;cellular;19;aug;117;6;-1;0;unknown;no
36;blue-collar;married;primary;no;1925;yes;no;cellular;20;apr;904;2;-1;0;unknown;yes
32;blue-collar;married;secondary;no;759;yes;no;cellular;9;apr;317;5;-1;0;unknown;yes
45;management;married;tertiary;no;80;no;yes;cellular;19;nov;157;1;-1;0;unknown;no
58;admin.;married;secondary;no;169;no;no;cellular;15;feb;216;1;91;4;success;yes
49;entrepreneur;married;primary;no;6188;no;no;cellular;18;nov;453;1;-1;0;unknown;yes
48;admin.;divorced;secondary;no;83;yes;no;cellular;13;may;1101;1;-1;0;unknown;yes
48;retired;single;primary;no;0;no;no;unknown;20;jun;9;16;-1;0;unknown;no
48;services;married;secondary;no;2409;yes;no;cellular;24;jul;533;2;-1;0;unknown;no
52;technician;married;secondary;no;272;no;yes;cellular;17;jul;53;1;-1;0;unknown;no
58;management;divorced;tertiary;no;5701;no;no;cellular;30;apr;354;1;87;1;success;yes
29;blue-collar;single;primary;no;213;yes;no;unknown;6;jun;2653;3;-1;0;unknown;yes
52;blue-collar;married;secondary;no;7225;no;no;cellular;19;nov;205;2;113;2;failure;no
34;management;divorced;tertiary;no;2885;no;no;cellular;10;feb;314;2;156;4;other;yes
31;management;married;tertiary;no;-235;yes;no;cellular;20;apr;546;2;-1;0;unknown;no
32;technician;single;tertiary;no;2684;yes;no;cellular;18;may;542;2;-1;0;unknown;yes
44;management;divorced;unknown;no;1784;no;yes;cellular;21;nov;279;1;-1;0;unknown;no
37;services;married;primary;yes;-483;yes;yes;cellular;6;may;222;2;168;3;failure;no
43;blue-collar;married;primary;no;50;no;no;unknown;28;may;90;8;-1;0;unknown;no
31;technician;married;tertiary;no;3382;no;no;cellular;30;apr;739;1;-1;0;unknown;yes
39;management;married;tertiary;no;141;yes;no;cellular;13;may;788;2;331;6;other;no
33;technician;single;secondary;no;719;yes;no;cellular;9;apr;448;2;316;6;failure;yes
26;self-employed;married;secondary;yes;254;yes;yes;cellular;25;jul;335;1;-1;0;unknown;no
64;retired;married;secondary;no;588;no;no;cellular;16;jul;574;1;179;3;success;yes
40;blue-collar;married;secondary;no;10;yes;no;unknown;9;may;1692;2;-1;0;unknown;yes
34;blue-collar;married;secondary;no;123;yes;no;cellular;8;jul;218;3;-1;0;unknown;no
24;student;single;tertiary;no;235;no;no;cellular;9;feb;98;1;92;1;success;yes
28;blue-collar;single;tertiary;no;4099;no;no;cellular;23;apr;116;4;-1;0;unknown;yes
32;technician;single;tertiary;no;948;yes;no;cellular;6;apr;223;2;-1;0;unknown;no
62;management;married;tertiary;no;7458;no;no;cellular;30;oct;212;2;-1;0;unknown;yes
35;technician;single;secondary;no;399;yes;no;cellular;13;may;496;2;345;3;failure;yes
36;services;married;secondary;no;488;yes;no;cellular;6;feb;220;5;-1;0;unknown;no
30;services;single;secondary;no;1268;yes;no;cellular;8;apr;105;4;320;8;other;yes
58;unemployed;married;tertiary;no;1798;yes;no;cellular;5;feb;19;8;-1;0;unknown;no
27;technician;single;tertiary;no;290;no;no;cellular;10;aug;88;1;-1;0;unknown;no
39;technician;divorced;secondary;no;385;no;no;cellular;13;oct;242;1;48;2;failure;yes
31;services;married;secondary;no;891;yes;no;unknown;21;may;44;3;-1;0;unknown;no
24;management;single;tertiary;no;507;no;no;cellular;3;jul;257;1;-1;0;unknown;yes
42;technician;married;secondary;no;6250;no;no;unknown;9;jun;107;3;-1;0;unknown;no
38;services;divorced;secondary;no;710;yes;no;cellular;18;may;1880;2;-1;0;unknown;no
48;management;married;tertiary;no;1808;yes;no;cellular;26;feb;245;1;-1;0;unknown;yes
49;blue-collar;single;primary;no;566;yes;no;cellular;25;jul;979;2;-1;0;unknown;yes
53;blue-collar;married;primary;no;358;yes;no;unknown;3;jun;384;1;-1;0;unknown;no
50;admin.;married;secondary;no;311;yes;yes;unknown;18;jun;417;3;-1;0;unknown;no
76;retired;married;secondary;no;4112;no;no;telephone;23;oct;282;2;-1;0;unknown;yes
59;retired;divorced;tertiary;no;4;yes;no;unknown;2;jun;517;2;-1;0;unknown;no
37;admin.;single;secondary;no;245;yes;yes;unknown;7;may;732;2;-1;0;unknown;yes
25;management;single;unknown;no;17;yes;no;unknown;30;may;65;2;-1;0;unknown;no
32;technician;single;tertiary;no;471;no;no;cellular;14;jan;67;1;-1;0;unknown;no
34;unknown;married;secondary;no;1434;no;no;cellular;21;nov;50;2;-1;0;unknown;no
61;retired;married;secondary;no;523;no;no;cellular;13;aug;211;3;183;4;success;yes
29;admin.;single;secondary;no;163;yes;yes;unknown;16;may;803;1;-1;0;unknown;yes
39;services;single;secondary;no;7066;yes;no;cellular;15;may;667;3;357;3;other;yes
44;blue-collar;married;primary;no;976;yes;no;cellular;11;may;164;2;-1;0;unknown;no
41;management;married;tertiary;no;0;no;yes;unknown;16;may;330;4;-1;0;unknown;no
32;technician;married;secondary;no;5626;yes;no;cellular;21;nov;131;1;-1;0;unknown;no
27;technician;single;tertiary;no;15161;no;no;cellular;2;jun;74;1;120;1;success;yes
33;admin.;divorced;secondary;no;-331;yes;yes;cellular;11;may;186;2;350;3;failure;no
29;management;single;tertiary;no;0;yes;no;cellular;13;may;155;1;351;1;failure;no
32;services;single;secondary;no;746;no;no;cellular;4;feb;305;1;-1;0;unknown;no
47;unemployed;married;secondary;no;312;no;no;cellular;29;jul;884;1;-1;0;unknown;yes
34;management;single;tertiary;no;1228;no;no;cellular;5;feb;263;8;-1;0;unknown;yes
33;management;married;tertiary;no;0;no;no;cellular;27;aug;181;4;-1;0;unknown;no
61;admin.;married;unknown;no;4629;yes;no;cellular;27;jan;181;1;92;1;success;yes
45;blue-collar;married;secondary;no;-35;yes;yes;unknown;20;jun;145;24;-1;0;unknown;no
38;blue-collar;divorced;primary;no;0;no;no;unknown;12;jun;49;2;-1;0;unknown;no
29;admin.;single;secondary;no;265;yes;no;cellular;25;nov;414;1;184;1;failure;yes
61;management;married;secondary;no;1471;no;no;cellular;12;aug;331;2;-1;0;unknown;no
33;management;married;tertiary;no;1657;yes;no;unknown;27;may;342;4;-1;0;unknown;no
34;technician;single;secondary;no;1279;yes;no;cellular;22;jul;174;2;160;8;other;yes
49;management;divorced;tertiary;no;300;no;no;cellular;21;jul;316;1;-1;0;unknown;yes
44;technician;married;secondary;no;366;no;yes;cellular;18;aug;212;12;-1;0;unknown;no
39;admin.;married;secondary;no;607;yes;no;cellular;12;may;454;2;364;3;failure;yes
45;technician;married;secondary;no;1831;no;no;cellular;27;may;275;2;-1;0;unknown;yes
40;services;married;primary;no;170;yes;yes;cellular;8;may;361;3;-1;0;unknown;no
55;retired;married;secondary;no;273;no;no;cellular;26;aug;417;2;-1;0;unknown;no
55;management;married;tertiary;no;23189;yes;no;unknown;14;may;77;1;-1;0;unknown;no
33;admin.;divorced;secondary;no;479;yes;no;unknown;27;may;74;5;-1;0;unknown;no
31;management;divorced;tertiary;no;254;no;no;cellular;18;aug;1576;8;-1;0;unknown;yes
61;management;married;unknown;no;264;no;no;telephone;29;jul;270;1;178;1;success;yes
67;retired;divorced;secondary;no;704;no;no;cellular;3;nov;537;1;-1;0;unknown;yes
40;technician;married;secondary;no;1832;no;no;cellular;8;apr;179;2;-1;0;unknown;no
35;services;married;secondary;no;0;no;yes;telephone;9;jul;42;1;-1;0;unknown;no
37;technician;married;unknown;no;189;no;no;cellular;1;oct;238;1;107;2;success;yes
29;student;single;unknown;no;7585;no;no;cellular;3;mar;145;2;198;1;failure;yes
42;unemployed;divorced;secondary;no;1713;yes;no;unknown;30;may;855;2;-1;0;unknown;yes
31;services;married;secondary;no;203;no;no;cellular;9;jul;359;1;-1;0;unknown;no
33;blue-collar;married;secondary;no;202;yes;no;cellular;17;apr;377;1;-1;0;unknown;no
34;technician;married;secondary;no;159;yes;no;cellular;18;oct;252;1;-1;0;unknown;yes
34;blue-collar;married;primary;no;373;yes;no;cellular;12;may;481;2;-1;0;unknown;no
38;blue-collar;married;secondary;no;213;yes;no;unknown;16;jun;270;15;-1;0;unknown;no
31;services;married;secondary;yes;29;no;no;cellular;21;nov;240;3;-1;0;unknown;no
41;blue-collar;married;secondary;no;203;no;no;cellular;2;jul;342;2;-1;0;unknown;yes
69;retired;married;primary;no;2346;no;no;cellular;11;feb;354;2;-1;0;unknown;yes
